what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1351977942226
arch,sysinfo,,,"x86_64",1351977942226
ws,sysinfo,,,"win32",1351977942226
locale,sysinfo,,,"en_US",1351977942226
processors,sysinfo,,,"4",1351977942226
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1351977942226
java.runtime.version,sysinfo,,,"1.7.0-b147",1351977942226
java.specification.name,sysinfo,,,"Java Platform API Specification",1351977942226
java.specification.vendor,sysinfo,,,"Oracle Corporation",1351977942226
java.specification.version,sysinfo,,,"1.7",1351977942226
java.vendor,sysinfo,,,"Oracle Corporation",1351977942226
java.version,sysinfo,,,"1.7.0",1351977942226
java.vm.info,sysinfo,,,"mixed mode",1351977942226
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1351977942226
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351977942226
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1351977942226
java.vm.specification.version,sysinfo,,,"1.7",1351977942226
java.vm.vendor,sysinfo,,,"Oracle Corporation",1351977942226
java.vm.version,sysinfo,,,"21.0-b17",1351977942226
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1351977942229
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.ui",1351977942299
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1351977943357
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351978003626
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1351978003795
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1351978003799
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1351978003925
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1351978003926
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1351978003926
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1351978003927
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1351978003928
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1351978003929
stopped,bundle,org.eclipse.wb.rcp.GroupLayout,1.5.0.r37x201206111330,"org.eclipse.wb.rcp.GroupLayout",1351978003929
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.5.0.r37x201206111333,"org.eclipse.wb.rcp.SWT_AWT",1351978003930
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.5.0.r37x201206111317,"org.eclipse.wb.rcp.databinding.emf",1351978003930
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.5.0.r37x201206111323,"org.eclipse.wb.rcp.databinding.xwt",1351978003931
stopped,bundle,org.eclipse.wb.rcp.databinding,1.5.0.r37x201206111317,"org.eclipse.wb.rcp.databinding",1351978003931
stopped,bundle,org.eclipse.wb.rcp.nebula,1.5.0.r37x201206111317,"org.eclipse.wb.rcp.nebula",1351978003932
stopped,bundle,org.eclipse.wb.rcp.swing2swt,1.5.0.r37x201206111317,"org.eclipse.wb.rcp.swing2swt",1351978003932
stopped,bundle,org.eclipse.wb.xwt,1.5.0.r37x201206111323,"org.eclipse.wb.xwt",1351978003933
stopped,bundle,org.eclipse.wb.rcp,1.5.0.r37x201206111317,"org.eclipse.wb.rcp",1351978003933
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1351978003933
